FAMILY,CLASS,SAMPLE,CHA.02,CHA.24,CHA.34,CHA.46,CHA.54.2,CHA.90,CHA.98.2,CHA.118.2,CHA.126.2,CHA.130.2
CORE DETAILS,00_CORE,depth,2.00,24.00,34.00,46.00,54.00,90.00,98.00,118.00,126.00,130.00
CORE DETAILS,00_CORE,weight,3.87,3.61,3.37,3.48,3.01,4.17,2.6,3.27,3.47,3.3
CORE DETAILS,00_CORE,LYCO_mean,28569,28569,20408,28569,20408,28569,20408,20408,28569,28569
CORE DETAILS,00_CORE,LYCO_add,2,2,2,2,2,2,2,2,2,2
CORE DETAILS,00_CORE,LYCO,4,13,50,10,51,11,14,101,32,1
CORE DETAILS,00_CORE,IND,37,15,5,13,12,18,3,19,3,5
PTERIDOPHYTA,01_PTERID,Pteridophyta (monolete),,2,,,,,,,,
PTERIDOPHYTA,01_PTERID,Pteridophyta (trilete),4,3,1,3,,,,,,
CYPERACEAE,02_MONOCOTS,Cyperaceae,13,12,4,20,3,12,,10,1,2
POACEAE,02_MONOCOTS,Poaceae,9,1,2,3,14,32,5,12,2,
TYPHACEAE,02_MONOCOTS,Typha,1,,1,,,1,,,,
ASTERACEAE,03_DICOTS,Asteraceae (LS),1,2,,1,,,,,,
ASTERACEAE,03_DICOTS,Asteraceae (HS),32,8,7,14,7,12,2,6,2,1
COMPOSITAE,03_DICOTS,Compositae,4,,,,,,,,,
COMB-MEL,03_DICOTS,Comb-mel,,,,,,,,,,
ACANTHACEAE,03_DICOTS,Acanthaceae,,,1,,1,,,,,
ALISMATACEAE,03_DICOTS,Alismataceae,,2,1,,,,,1,,
AQUIFOLIACEAE,03_DICOTS,Aquifoliaceae,,,,,,,,,,
AMARANTHACEAE,03_DICOTS,Amaranthaceae,10,1,,1,1,2,,,1,
MYRTACEAE,03_DICOTS,Syzygium,9,6,3,14,7,7,,5,,2
EUPOHORBIA,03_DICOTS,Euphorbia,,,,,,,,,,
PODOCARPACEAE,04_CONIFERS,Podocarpus,2,4,1,,,,,,,
PLANTAGINACEAE,03_DICOTS,Plantago,,,,,,2,,,,
SAPINDACEAE,03_DICOTS,Dodonaea,,,,,1,,,,,
SIMAROUBACEAE,03_DICOTS,Brucea,,,,,,,,,,
*HALORAGACEAE,03_DICOTS,Sarcobatus?,,,,,,,,,,
URTICACEAE,03_DICOTS,Urticaceae,,,,,,,,,,
UNKNOWNS,05_UNKNOWNS,TZCP (UK1),,,,,,,,,,
UNKNOWNS,05_UNKNOWNS,STPR (UK2) - Afraegle?,,,,,,,,,,
UNKNOWNS,05_UNKNOWNS,TZCPsm (UK3),,,,,,,,,,
UNKNOWNS,05_UNKNOWNS,TZCP-smooth (UK4),,,,,,,,,,
UNKNOWNS,05_UNKNOWNS,TZCP-small smooth (UK5),,,,,,,,,,
UNKNOWNS,05_UNKNOWNS,4-lobed (UK6),,,,,,,,,,
UNKNOWNS,05_UNKNOWNS,DP-type (UK7),,,,,,,,,,
NPPs,06_NPPS,NPP-bumpy,,,,,,,,,,
NPPs,06_NPPS,NPP-tiny weirdo,,,,,,,,,,
NPPs,06_NPPS,NPP-spikyAF,,,,,,,,,,