FAMILY,CLASS,SAMPLE,ECOLOGY,CODE,CHO02,CHO10,CHO22,CHO30,CHO44,CHO52,CHO66,CHO96,CHO116,CHO124,CHO132,CHA02,CHA24,CHA34,CHA46,CHA54,CHA90,CHA98,CHA118,CHA126,CHA.130,KAO02,KAO14,KAO28,KAO36,KAO50,KAO60,KAO86,KAO100,KAO106,KAO116,KAO132,KAO140,KAO158,KAO168
CORE DETAILS,Core,depth,Core,00_CORE,2,10,22,30,44,52,66,96,116,124,132,2,24,34,46,54,90,98,118,126,130,2,14,28,36,50,60,86,100,106,116,132,140,158,168
CORE DETAILS,Core,weight_g,Core,00_CORE,2.55,3.2,3.8,3.29,3.07,3.02,3.7,2.89,2.71,3.44,2.6,3.87,3.61,3.37,3.48,3.01,4.17,2.6,3.27,3.47,3.3,2.54,3.07,3.37,2.37,3.03,3.21,3.3,4.27,3.65,3.5,2.6,2.66,2.4,2.75
CORE DETAILS,Core,LYCO_mean,Core,00_CORE,28569,20408,28569,20408,28569,20408,28569,28569,20408,20408,20408,28569,28569,20408,28569,20408,28569,20408,20408,28569,28569,28569,20408,28569,20408,28569,38664,20408,28569,20408,20408,20408,20408,20408,20408
CORE DETAILS,Core,LYCO_add,Core,00_CORE,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CORE DETAILS,Core,LYCO_n,Core,00_CORE,81,113,37,161,52,143,50,181,109,45,92,4,13,50,10,51,11,14,101,32,1,50,50,11,102,9,55,65,26,95,53,59,66,110,57
CORE DETAILS,Core,IND,Core,00_CORE,9,20,5,14,17,18,18,14,6,9,4,37,15,5,13,12,18,3,19,3,5,0,6,3,3,6,3,4,4,2,5,6,4,10,1
PTERIDOPHYTA,Pteridophyte,Pteridophyta (monolete),Various,01_FERNS,1,7,1,3,1,4,9,4,2,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,1,0,0,0,0,3
PTERIDOPHYTA,Pteridophyte,Pteridophyta (trilete),Various,01_FERNS,2,1,1,2,1,2,7,1,1,2,8,4,3,1,3,0,0,0,0,0,0,1,0,2,0,0,1,3,2,0,1,0,2,0,0
PTERIDOPHYTA,Pteridophyte,"""Tortoise""",Various,01_FERNS,0,0,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYPERACEAE,Monocot,Cyperaceae,Wetland Herbs,02_WETLAND,12,22,27,41,18,32,81,35,5,5,7,13,12,4,20,3,12,0,10,1,2,26,0,8,5,11,12,3,51,4,3,26,12,13,4
TYPHACEAE,Monocot,Typha,Wetland Herbs,02_WETLAND,0,0,1,0,1,1,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALISMATACEAE,Dicot,Alismataceae,Wetland Herbs,02_WETLAND,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
POACEAE,Monocot,Poaceae,Terrestrial Herbs,03_TERRHERB,22,31,36,24,18,33,45,8,7,9,9,9,1,2,3,14,32,5,12,2,0,1,1,0,1,0,18,2,7,2,9,5,0,1,1
COMMELINACEAE,Monocot,Commelina,Terrestrial Herbs,03_TERRHERB,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRYSOBALANACEAE,Dicot,Chrysobalanaceae,Terrestrial Herbs,03_TERRHERB,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUPHORBIACEAE,Dicot,Acalypha,Terrestrial Herbs,03_TERRHERB,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLANTAGINACEAE,Dicot,Plantago,Terrestrial Herbs,03_TERRHERB,4,9,3,8,5,13,17,8,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
POLYGONACEAE,Dicot,Rumex,Terrestrial Herbs,03_TERRHERB,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCROPHULARIACEAE,Dicot,Scrophulariaceae,Terrestrial Herbs,03_TERRHERB,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCROPHULARIACEAE,Dicot,Hedbergia-type (Hebenstretia),Terrestrial Herbs,03_TERRHERB,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCROPHULARIACEAE,Dicot,Striga,Terrestrial Herbs,03_TERRHERB,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACANTHACEAE,Dicot,Acanthaceae,Terrestrial Herbs,03_TERRHERB,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0
AMARANTHACEAE,Dicot,Amaranthaceae,Terrestrial Herbs,03_TERRHERB,2,2,1,5,2,2,1,2,0,0,0,10,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
RANUNCULACEAE,Dicot,Clematis,Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTERACEAE,Dicot,Asteraceae (LS),Evergreen Shrubland and Steppe,04_STEPPE,1,4,3,4,1,3,10,1,1,0,4,1,2,0,1,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0
ASTERACEAE,Dicot,Asteraceae (HS),Evergreen Shrubland and Steppe,04_STEPPE,9,5,2,2,5,5,9,6,2,4,2,32,8,7,14,7,12,2,6,2,1,0,1,3,1,0,0,0,1,2,0,4,0,0,1
COMPOSITAE,Dicot,Compositae,Evergreen Shrubland and Steppe,04_STEPPE,1,1,1,5,0,2,9,7,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,3,0,0,0,2,1,0
ACANTHACEAE,Dicot,Justicia,Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACARDIACEAE,Dicot,Lannea,Evergreen Shrubland and Steppe,04_STEPPE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APIACEAE,Dicot,Apiaceae,Evergreen Shrubland and Steppe,04_STEPPE,0,4,4,0,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BURSERACEAE,Dicot,Commiphora,Evergreen Shrubland and Steppe,04_STEPPE,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPPARACEAE,Dicot,Capparis,Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,0,2,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARYOPHYLLACEAE,Dicot,Caryophyllaceae,Evergreen Shrubland and Steppe,04_STEPPE,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUPHORBIACEAE,Dicot,Ricinus,Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,1,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUPHORBIACEAE,Dicot,"""Mallotus""",Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABACEAE,Dicot,Acacia,Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABACEAE,Dicot,Erythrina-type,Evergreen Shrubland and Steppe,04_STEPPE,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABACEAE,Dicot,Senna/Chamaecrista,Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYRTACEAE,Dicot,Eugenia,Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PASSIFLORACEAE,Dicot,Passifloraceae,Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SALVORADACEAE,Dicot,Salvadora?,Evergreen Shrubland and Steppe,04_STEPPE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAPINDACEAE,Dicot,Dodonaea,Evergreen Shrubland and Steppe,04_STEPPE,2,3,5,4,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOLANACEAE,Dicot,Solanum,Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STERCULIACEAE,Dicot,Dombeya,Evergreen Shrubland and Steppe,04_STEPPE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMARICACEAE,Dicot,Tamarix,Evergreen Shrubland and Steppe,04_STEPPE,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ULMACEAE,Dicot,Celtis,Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZANTHOXYLEAE,Dicot,Zanthoxylum?,Evergreen Shrubland and Steppe,04_STEPPE,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYRTACEAE,Dicot,Syzygium,Various,04_STEPPE,5,8,6,7,2,9,6,1,0,0,1,9,6,3,14,7,7,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
PODOCARPACEAE,Conifer,Podocarpus,Afromontane Forests,05_AFROMONT,1,5,0,1,4,2,1,1,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CUPRESSACEAE,Conifer,Juniperus,Afromontane Forests,05_AFROMONT,0,16,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AQUIFOLIACEAE,Dicot,Ilex,Afromontane Forests,05_AFROMONT,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYRICACEAE,Dicot,Morella,Afromontane Forests,05_AFROMONT,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLEACEAE,Dicot,Olea,Afromontane Forests,05_AFROMONT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSACEAE,Dicot,Alchemilla,Afromontane Forests,05_AFROMONT,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAPINDACEAE,Dicot,Allophylus,Afromontane Forests,05_AFROMONT,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIMAROUBACEAE,Dicot,Brucea,Afromontane Forests,05_AFROMONT,14,10,30,34,35,17,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROSACEAE,Dicot,Hagenia,Afromontane Forests,05_AFROMONT,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMB-MEL,Dicot,Comb-mel,Various,06_VARIOUS,0,1,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANACARDIACEAE,Dicot,Anacardiaceae,Various,06_VARIOUS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELASTRACEAE,Dicot,Celastraceae,Various,06_VARIOUS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERICACAE,Dicot,Ericaceae,Various,06_VARIOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUPHORBIACEAE,Dicot,Euphorbiaceae,Various,06_VARIOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FABACEAE,Dicot,Fabaceae,Various,06_VARIOUS,1,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABACEAE,Dicot,Caesalpinoideae,Various,06_VARIOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABACEAE,Dicot,Mimosoideae,Various,06_VARIOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FABACEAE,Dicot,Papilionoideae,Various,06_VARIOUS,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMIACEAE,Dicot,Lamiaceae,Various,06_VARIOUS,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALVACEAE,Dicot,Malvaceae?,Various,06_VARIOUS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POLYGONACEAE,Dicot,Polygonaceae,Various,06_VARIOUS,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAPINDACEAE,Dicot,Sapindaceae,Various,06_VARIOUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
URTICACEAE,Dicot,Urticaceae,Various,06_VARIOUS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
UNKNOWNS,Various,Unknowns,Unknowns,07_UNKNOWN,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,1,0,6,0