FAMILY,CLASS,SAMPLE,KAO.02,CKC.14,KAO.28,CKC.36,KAO.50,CKC.60,CKC.86.2,KAO.100,CKC.106,CKC.116.2,CKC.132.2,CKC.140.2,CKC.158,CKC.168
CORE DETAILS, 00_CORE,depth,2,14,28,36,50,60,86,100,106,116,132,140,158,168
CORE DETAILS, 00_CORE,weight,2.54,3.07,3.37,2.37,3.03,3.21,3.3,4.27,3.65,3.5,2.6,2.66,2.4,2.75
CORE DETAILS, 00_CORE,LYCO_mean,28569,101023231,28569,101023231,28569,38664,101023231,28569,101023231,101023231,101023231,101023231,101023231,101023231
CORE DETAILS, 00_CORE,LYCO_add,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CORE DETAILS, 00_CORE,LYCO,50,50,11,102,9,55,65,26,95,53,59,66,110,57
CORE DETAILS, 00_CORE,IND,,6,3,3,6,3,4,4,2,5,6,4,10,1
PTERIDOPHYTA,01_PTERID,Pteridophyta (monolete),,4,,,,1,1,,1,,,,,3
PTERIDOPHYTA,01_PTERID,Pteridophyta (trilete),1,,2,,,1,3,2,,1,,2,,
CYPERACEAE,02_MONOCOTS,Cyperaceae,26,,8,5,11,12,3,51,4,3,26,12,13,4
POACEAE,02_MONOCOTS,Poaceae,1,1,,1,,18,2,7,2,9,5,,1,1
TYPHACEAE,02_MONOCOTS,Typha,,,,,,,,,,,,,,
ASTERACEAE,03_DICOTS,Asteraceae (LS),10,,,,,1,,,,,,,,
ASTERACEAE,03_DICOTS,Asteraceae (HS),,1,3,1,,,,1,2,,4,,,1
COMPOSITAE,03_DICOTS,Compositae,2,,,,,7,,3,,,,2,1,
COMB-MEL,03_DICOTS,Comb-mel,,,,,,,,,,,,,,
ACANTHACEAE,03_DICOTS,Acanthaceae,,,,,,,1,3,,,,,,
ALISMATACEAE,03_DICOTS,Alismataceae,,,,,1,,,,,,,,,
AQUIFOLIACEAE,03_DICOTS,Aquifoliaceae,,,,,,,,,,,,,,
AMARANTHACEAE,03_DICOTS,Amaranthaceae,,,,,,,,,,,,1,,
MYRTACEAE,03_DICOTS,Syzygium,,,,,,,,1,,,,,1,
EUPOHORBIA,03_DICOTS,Euphorbia,,1,,,,,,,,,,,,
PODOCARPACEAE,04_CONIFERS,Podocarpus,,,,,,,,,1,,,,,
PLANTAGINACEAE,03_DICOTS,Plantago,,,,,,,,,,,1,,,
SAPINDACEAE,03_DICOTS,Dodonaea,,,,,,,,,,,,,,
SIMAROUBACEAE,03_DICOTS,Brucea,,,,,,,,,,,,,,
*HALORAGACEAE,03_DICOTS,Sarcobatus?,,,1,,,,,,,,1,,,
URTICACEAE,03_DICOTS,Urticaceae,,,,,,,,,,,6,,,
UNKNOWNS,05_UNKNOWNS,TZCP (UK1),,1,,,,5,,,,,1,,,
UNKNOWNS,05_UNKNOWNS,STPR (UK2) - Afraegle?,,1,,,,,,,,,,,,
UNKNOWNS,05_UNKNOWNS,TZCPsm (UK3),,,,,,7,,,,,,,,
UNKNOWNS,05_UNKNOWNS,TZCP-smooth (UK4),,,,,,,,,,,,,,
UNKNOWNS,05_UNKNOWNS,TZCP-small smooth (UK5),,,,,,,,,,,,,,
UNKNOWNS,05_UNKNOWNS,4-lobed (UK6),,,,,,,,,,,,,5,
UNKNOWNS,05_UNKNOWNS,DP-type (UK7),,,,,,,,,,,,,1,
NPPs,06_NPPS,NPP-bumpy,,,,,,,,,,,1,,,
NPPs,06_NPPS,NPP-tiny weirdo,,,,,,,,,,,1,,,
NPPs,06_NPPS,NPP-spikyAF,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,